Date,WTI 
2020-01-02,61.18
2020-01-03,63.05
2020-01-06,63.27
2020-01-07,62.7
2020-01-08,59.61
2020-01-09,59.56
2020-01-10,59.04
2020-01-13,58.08
2020-01-14,58.23
2020-01-15,57.81
2020-01-16,58.52
2020-01-17,58.54
2020-01-20,58.73
2020-01-21,58.34
2020-01-22,56.74
2020-01-23,55.59
2020-01-24,54.19
2020-01-27,53.14
2020-01-28,53.48
2020-01-29,53.33
2020-01-30,52.14
2020-01-31,51.56
2020-02-03,50.11
2020-02-04,49.61
2020-02-05,50.75
2020-02-06,50.95
2020-02-07,50.32
2020-02-10,49.57
2020-02-11,49.94
2020-02-12,51.17
2020-02-13,51.42
2020-02-14,52.05
2020-02-17,52.2
2020-02-18,52.05
2020-02-19,53.29
2020-02-20,53.78
2020-02-21,53.38
2020-02-24,51.43
2020-02-25,49.9
2020-02-26,48.73
2020-02-27,47.09
2020-02-28,44.76
2020-03-02,46.75
2020-03-03,47.18
2020-03-04,46.78
2020-03-05,45.9
2020-03-06,41.28
2020-03-09,31.13
2020-03-10,34.36
2020-03-11,32.98
2020-03-12,31.5
2020-03-13,31.73
2020-03-16,28.7
2020-03-17,26.95
2020-03-18,20.37
2020-03-19,25.22
2020-03-20,22.43
2020-03-23,23.36
2020-03-24,24.01
2020-03-25,24.49
2020-03-26,22.6
2020-03-27,21.51
2020-03-30,20.09
2020-03-31,20.48
2020-04-01,20.31
2020-04-02,25.32
2020-04-03,28.34
2020-04-06,26.08
2020-04-07,23.63
2020-04-08,25.09
2020-04-09,22.76
2020-04-13,22.41
2020-04-14,20.11
2020-04-15,19.87
2020-04-16,19.87
2020-04-17,18.27
2020-04-21,10.01
2020-04-22,13.78
2020-04-23,16.5
2020-04-24,16.94
2020-04-27,12.78
2020-04-28,12.34
2020-04-29,15.06
2020-04-30,18.84
2020-05-01,19.78
2020-05-04,20.39
2020-05-05,24.56
2020-05-06,23.99
2020-05-07,23.55
2020-05-08,24.74
2020-05-11,24.14
2020-05-12,25.78
2020-05-13,25.29
2020-05-14,27.56
2020-05-15,29.43
2020-05-18,31.82
2020-05-19,32.5
2020-05-20,33.49
2020-05-21,33.92
2020-05-22,33.25
2020-05-25,33.92
2020-05-26,34.35
2020-05-27,32.81
2020-05-28,33.71
2020-05-29,35.49
2020-06-01,35.44
2020-06-02,36.81
2020-06-03,37.29
2020-06-04,37.41
2020-06-05,39.55
2020-06-08,38.19
2020-06-09,38.94
2020-06-10,39.6
2020-06-11,36.34
2020-06-12,36.26
2020-06-15,37.12
2020-06-16,38.38
2020-06-17,37.96
2020-06-18,38.84
2020-06-19,39.75
2020-06-22,40.46
2020-06-23,40.37
2020-06-24,38.01
2020-06-25,38.72
2020-06-26,38.49
2020-06-29,39.7
2020-06-30,39.27
2020-07-01,39.82
2020-07-02,40.65
2020-07-03,40.28
2020-07-06,40.63
2020-07-07,40.62
2020-07-08,40.9
2020-07-09,39.62
2020-07-10,40.55
2020-07-13,40.1
2020-07-14,40.29
2020-07-15,41.2
2020-07-16,40.75
2020-07-17,40.59
2020-07-20,40.81
2020-07-21,41.96
2020-07-22,41.9
2020-07-23,41.07
2020-07-24,41.29
2020-07-27,41.6
2020-07-28,41.04
2020-07-29,41.27
2020-07-30,39.92
2020-07-31,40.27
2020-08-03,41.01
2020-08-04,41.7
2020-08-05,42.19
2020-08-06,41.95
2020-08-07,41.22
2020-08-10,41.94
2020-08-11,41.61
2020-08-12,42.67
2020-08-13,42.24
2020-08-14,42.01
2020-08-17,42.89
2020-08-18,42.89
2020-08-19,42.93
2020-08-20,42.58
2020-08-21,42.34
2020-08-24,42.62
2020-08-25,43.35
2020-08-26,43.39
2020-08-27,43.04
2020-08-28,42.97
2020-08-31,42.61
2020-09-01,42.76
2020-09-02,41.51
2020-09-03,41.37
2020-09-04,39.77
2020-09-07,39.2
2020-09-08,36.76
2020-09-09,38.05
2020-09-10,37.3
2020-09-11,37.33
2020-09-14,37.26
2020-09-15,38.28
2020-09-16,40.16
2020-09-17,40.97
2020-09-18,41.11
2020-09-21,39.31
2020-09-22,39.6
2020-09-23,39.93
2020-09-24,40.31
2020-09-25,40.25
2020-09-28,40.6
2020-09-29,39.29
2020-09-30,40.22
2020-10-01,38.72
2020-10-02,37.05
2020-10-05,39.22
2020-10-06,40.67
2020-10-07,39.95
2020-10-08,41.19
2020-10-09,40.6
2020-10-12,39.43
2020-10-13,40.2
2020-10-14,41.04
2020-10-15,40.96
2020-10-16,40.88
2020-10-19,40.83
2020-10-20,41.46
2020-10-21,40.03
2020-10-22,40.64
2020-10-23,39.85
2020-10-26,38.56
2020-10-27,39.57
2020-10-28,37.39
2020-10-29,36.17
2020-10-30,35.79
2020-11-02,36.81
2020-11-03,37.66
2020-11-04,39.15
2020-11-05,38.79
2020-11-06,37.14
2020-11-09,40.29
2020-11-10,41.36
2020-11-11,41.45
2020-11-12,41.12
2020-11-13,40.13
2020-11-16,41.34
2020-11-17,41.43
2020-11-18,41.82
2020-11-19,41.74
2020-11-20,42.15
2020-11-23,43.06
2020-11-24,44.91
2020-11-25,45.71
2020-11-26,44.98
2020-11-27,45.53
2020-11-30,45.34
2020-12-01,44.55
2020-12-02,45.28
2020-12-03,45.64
2020-12-04,46.26
2020-12-07,45.76
2020-12-08,45.6
2020-12-09,45.52
2020-12-10,46.78
2020-12-11,46.57
2020-12-14,46.99
2020-12-15,47.62
2020-12-16,47.82
2020-12-17,48.36
2020-12-18,49.1
2020-12-21,47.74
2020-12-22,47.02
2020-12-23,48.12
2020-12-24,48.23
2020-12-28,47.62
2020-12-29,48
2020-12-30,48.4
2020-12-31,48.52
